ER60001;ER60002;ER60017;ER60018;ER60019;ER60020;ER60025;ER62366;ER62449;ER62484;ER62486;ER62488;ER62491;ER62499;ER62502;ER62505;ER63482;ER63565;ER63600;ER63602;ER63604;ER63607;ER63615;ER63618;ER63621;ER64674;ER64676;ER64730;ER64813;ER64815;ER64869;ER65019;ER65067;ER65216;ER65244;ER66001;ER66002;ER66017;ER66018;ER66019;ER66020;ER66025;ER68420;ER68512;ER68549;ER68551;ER68553;ER68556;ER68564;ER68567;ER68570;ER69547;ER69639;ER69676;ER69678;ER69680;ER69683;ER69691;ER69694;ER69697;ER70747;ER70749;ER70803;ER70885;ER70887;ER70941;ER71111;ER71159;ER71293;ER71321;ER72001;ER72002;ER72017;ER72018;ER72019;ER72020;ER72025;ER74428;ER74520;ER74557;ER74559;ER74561;ER74564;ER74572;ER74575;ER74578;ER75555;ER75647;ER75684;ER75686;ER75688;ER75691;ER75699;ER75702;ER75705;ER76755;ER76757;ER76815;ER76900;ER76902;ER76960;ER77133;ER77181;ER77315;ER77343;Blanks
1;4849;93;1;0;0;3;3;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;2;1332;95;1;0;0;1;3;0;4;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;1;2752;97;1;0;0;3;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;0;0;0;0;0
1;4171;57;1;58;2;2;2;0;1;7;1;0;1;0;0;3;0;1;7;0;0;1;0;0;0;3;8;0;3;8;40;34;28000;20000;2;2029;60;1;60;2;2;3;0;7;7;0;0;1;0;0;3;0;0;3;0;0;1;0;0;0;3;8;0;3;8;50;36;68000;30000;1;2751;62;1;62;2;2;3;0;0;4;0;0;1;0;0;3;5;0;2;5;0;1;0;0;0;3;10;0;3;10;48;36;77000;30000;0
1;1613;74;1;79;2;1;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;8;0;1;8;0;0;0;0;2;5424;76;1;81;2;1;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;8;0;1;8;0;0;0;0;1;5700;78;1;83;2;1;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;31;0;1;31;0;0;0;0;0
1;2977;49;1;46;2;2;3;0;2;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;8;0;1;0;40;45;58000;8000;2;6499;51;1;0;0;2;3;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;42;0;56000;0;1;5054;53;1;0;0;2;3;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;40;0;61300;0;0
1;1868;28;1;26;2;2;2;0;2;2;0;0;3;0;0;2;2;2;2;0;0;0;0;0;0;9;8;0;9;8;45;40;3000;30000;2;5767;30;1;28;2;1;2;0;1;7;0;0;3;0;0;2;2;7;7;7;0;3;0;0;0;9;8;0;9;8;45;40;0;65000;1;6733;32;1;30;2;2;2;0;1;1;0;0;3;0;0;1;0;7;7;7;0;1;0;0;0;9;10;0;9;10;40;40;7000;62000;0
1;2779;45;2;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;40;0;16000;0;2;5685;47;2;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;36;0;13000;0;1;2104;49;2;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6;36;0;15000;0;0
1;612;32;2;0;0;2;2;0;4;7;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;45;0;69000;0;2;9422;35;2;0;0;1;2;0;5;5;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;49;0;76000;0;1;1899;36;2;0;0;2;2;1;7;7;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;40;0;72856;0;0
1;5912;30;2;0;0;1;3;0;7;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;30;0;48000;0;2;7367;32;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;32;0;85000;0;1;1544;34;2;0;0;1;3;0;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;40;0;105000;0;0
1;5281;27;2;0;0;3;3;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;20;0;10000;0;2;4646;29;2;0;0;3;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;40;0;25500;0;1;1757;31;2;0;0;3;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;40;0;29000;0;0
1;7808;28;2;0;0;3;2;0;5;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;6776;30;2;0;0;4;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1836;32;2;0;0;3;2;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;0;0;0
